"","Simple Linear","Multiple Linear","Advanced Linear","Decision Tree","Random Forest"
"RMSE",1589.94249354213,1180.90176583353,1162.98904091162,1425.04032755038,688.359462699249
"MAE",1032.23947560974,809.24998709913,744.09803438873,910.622391215846,342.066680641076
"R2",0.842709325823736,0.913210098768142,0.915824860774354,0.873630738547512,0.971117005623095
